"Species","trait_name","value"
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Small shrub, Large shrub"
"Grevillea","Height","0.8 ~ 1.5 metres"
"Grevillea","Width","0.5 ~ 1.5 metres"
"Grevillea","Flower Colour","Orange, Gold"
"Grevillea","Flowering Time","All year"
"Grevillea","Ph Level","Acid, Neutral"
"Grevillea","Soil Type","Loamy, Sandy loam, Clay loam"
"Grevillea","Plant Environment","Low maintenance garden, Courtyard, Container growing, Flower garden, Coastal garden, Drought resistant"
"Grevillea","Climate Zone","Tropical, Sub-tropical, Warm temperate, Cool temperate, Mediterranean"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen, Mound-shaped"
"Grevillea","Lifespan","Perennial"
"Grevillea","Soil Moisture","Well-drained"
"Grevillea","Frost Tolerance","Tolerates light frost"
"Grevillea","Plant Usage","Groundcover, Feature plant, Screen, Windbreak"
"Grevillea","Special Uses","Cut flower, Pollution tolerant"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","A low growing variety to around a metre high, Amber Blaze flowers nearly all year round with large orange brushes that can be used for cut flowers, as well as being highly bird attracting. Easy care and waterwise, it will perform best in well drained soil in a sunny position. Give it a handful of native fertiliser in spring. Tolerates light frost, and is bred for subtropical conditions. Good for pot culture, low informal hedging and as a feature plant."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Small shrub, Large shrub"
"Grevillea","Height","2 ~ 3 metres"
"Grevillea","Width","1.5 ~ 2 metres"
"Grevillea","Flower Colour","Pink, Purple, Black"
"Grevillea","Flowering Time","All year"
"Grevillea","Ph Level","Acid, Neutral, Alkaline"
"Grevillea","Soil Type","Sandy, Clay, Loamy, Sandy loam, Clay loam, Potting mix, Poor soil"
"Grevillea","Plant Environment","Low maintenance garden, Poolside, Flower garden, Coastal garden, Drought resistant"
"Grevillea","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Semi-arid"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen, Dense foliage, Open foliage, Spreading"
"Grevillea","Lifespan","Perennial"
"Grevillea","Soil Moisture","Dry, Well-drained"
"Grevillea","Frost Tolerance","Tolerates light frost"
"Grevillea","Plant Usage","Feature plant, Screen, Windbreak, Wow factor"
"Grevillea","Special Uses","Cut flower, Pollution tolerant, Fast growing"
"Grevillea","Attracts Wildlife","Bees, Butterflies, Other insects, Mammals"
"Grevillea","description","A large and also compact shrub that grows to 3 metres high and 2 metres wide, making it great for informal hedging and screening. It has large two toned flowers of pink and beautifully contrasting dark burgundy, and they make good cut flowers. It has flushes of flowers throughout the year, as well as bronzed new foliage growth, and is a magnet to honey eating birds and mammals. Drought tolerant and does well on a wide range of soil types. Performs best in a sunny spot with well drained soil, but can take light shade. Feed with a good native fertiliser in spring."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Small tree, Large shrub"
"Grevillea","Height","3 ~ 5 metres"
"Grevillea","Width","2 ~ 4 metres"
"Grevillea","Flower Colour","Cream"
"Grevillea","Flowering Time","All year"
"Grevillea","Ph Level","Acid, Neutral, Alkaline"
"Grevillea","Soil Type","Sandy, Clay, Loamy, Sandy loam, Clay loam, Poor soil"
"Grevillea","Plant Environment","Low maintenance garden, Flower garden, Cold climate, Coastal garden, Drought resistant"
"Grevillea","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Cool, Semi-arid"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen, Spreading"
"Grevillea","Soil Moisture","Dry, Well-drained"
"Grevillea","Frost Tolerance","Tolerates light frost"
"Grevillea","Plant Usage","Hedge, Feature plant, Screen, Windbreak"
"Grevillea","Special Uses","Cut flower, Erosion control, Bird nesting plant, Pollution tolerant, Fast growing"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","Grevillea Moonlight is one of the best grevilleas….it is tough and adaptable and also flowers all year round. It is great as a feature plant due to its flower power but also makes an effective informal screen or hedge. Also a great cut flower and bird attracting. The flowers are produced in groups at the ends of the branches, so as each group of flowers finishes it is best to trim off that whole shoot behind the spent flower heads. A fantastic grevillea choice, especially for warmer climates."
"Grevillea lavandulacea x alpina","Scientific Name","Grevillea lavandulacea x alpina"
"Grevillea lavandulacea x alpina","Family","Proteaceae"
"Grevillea lavandulacea x alpina","Common Name","Grevillea"
"Grevillea lavandulacea x alpina","Plant Type","Small shrub, Ground cover"
"Grevillea lavandulacea x alpina","Height","0.5 ~ 1 metre"
"Grevillea lavandulacea x alpina","Width","0.5 ~ 1 metre"
"Grevillea lavandulacea x alpina","Flower Colour","Cream, Red, Pink"
"Grevillea lavandulacea x alpina","Flowering Time","Spring, Winter"
"Grevillea lavandulacea x alpina","Ph Level","Acid, Neutral, Alkaline"
"Grevillea lavandulacea x alpina","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Potting mix"
"Grevillea lavandulacea x alpina","Plant Environment","Low maintenance garden, Courtyard, Poolside, Container growing, Cottage garden, Flower garden, Cold climate, Coastal garden, Drought resistant"
"Grevillea lavandulacea x alpina","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Cool, Semi-arid"
"Grevillea lavandulacea x alpina","Light","Sunny, Light shade"
"Grevillea lavandulacea x alpina","Growth Habit","Evergreen, Dense foliage, Mound-shaped"
"Grevillea lavandulacea x alpina","Lifespan","Perennial"
"Grevillea lavandulacea x alpina","Soil Moisture","Well-drained"
"Grevillea lavandulacea x alpina","Frost Tolerance","Tolerates light frost"
"Grevillea lavandulacea x alpina","Plant Usage","Groundcover, Feature plant, Border plant, Attractive foliage"
"Grevillea lavandulacea x alpina","Special Uses","Cut flower, Erosion control, Fast growing, Playground friendly"
"Grevillea lavandulacea x alpina","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea lavandulacea x alpina","description","Ideal as a groundcover, this is a dense, mounding grevillea with striking and plentiful pink flowers, which resemble jelly babies. These form a contrast to the understated grey foliage.
This plant excels particularly when grown in rockeries or as part of a rocky landscape, and also makes a fantastic container plant for balconies and patios.
A favourite of honeyeating birds, this grevillea will always bring avian friends to the garden.
Appreciates a gentle pruning after flowering. Tolerates some frost and is a great waterwise plant."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Large shrub"
"Grevillea","Height","1.5 ~ 2 metres"
"Grevillea","Width","1.5 ~ 2 metres"
"Grevillea","Flower Colour","Red, Pink, Orange"
"Grevillea","Flowering Time","All year"
"Grevillea","Ph Level","Acid, Neutral"
"Grevillea","Soil Type","Loamy, Sandy loam, Clay loam"
"Grevillea","Plant Environment","Low maintenance garden, Flower garden, Coastal garden, Drought resistant"
"Grevillea","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen, Spreading"
"Grevillea","Soil Moisture","Dry, Well-drained"
"Grevillea","Frost Tolerance","Tolerates light frost"
"Grevillea","Plant Usage","Feature plant, Screen, Windbreak, Wow factor"
"Grevillea","Special Uses","Cut flower, Fast growing"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","A spreading medium sized shrub, naturally dense in habit.  Very similar to ‘Robyn Gordon’ but more vigorous and has bright red/orange flowers throughout the year, peak flowering is late winter and spring. A great feature shrub or screen plant, suitable for all but tropical areas. Frost and drought tolerant once established. A light trim every year will ensure an even more compact habit. Best in well drained soil and a sunny spot."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Ground cover"
"Grevillea","Height","0.1 ~ 0.2 metres"
"Grevillea","Width","3 ~ 6 metres"
"Grevillea","Flower Colour","Red"
"Grevillea","Flowering Time","All year"
"Grevillea","Ph Level","Acid, Neutral"
"Grevillea","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Poor soil"
"Grevillea","Plant Environment","Low maintenance garden, Poolside, Flower garden, Cold climate, Coastal garden, Drought resistant"
"Grevillea","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Cool, Semi-arid"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen, Spreading"
"Grevillea","Lifespan","Perennial"
"Grevillea","Soil Moisture","Dry, Well-drained"
"Grevillea","Frost Tolerance","Tolerates heavy frost, Tolerates light frost"
"Grevillea","Plant Usage","Groundcover, Attractive foliage"
"Grevillea","Special Uses","Cut flower, Erosion control, Pollution tolerant, Fast growing"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects, Lizards"
"Grevillea","description","A prostrate dense ground cover with attractive toothed leaves, new growth is coppery red. One of the original and best Grevillea cultivars ever released. Fantastic for banks and as a ground cover, and in large landscaping areas, as it can quickly grow to cover to 6 metres. Flowers winter to late spring with toothbrush red flowers, with spot flowering the rest of the year. Also makes a great weeping standard when grafted. Grows in most areas of Australia except for the tropics. Drought tolerant, fast growing and withstands frost to -8."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Small shrub"
"Grevillea","Height","1.2 ~ 1.5 metres"
"Grevillea","Width","1.5 ~ 1.8 metres"
"Grevillea","Flower Colour","Cream, Red, Pink"
"Grevillea","Flowering Time","All year"
"Grevillea","Ph Level","Mildly acid, Neutral"
"Grevillea","Soil Type","Loamy, Sandy loam, Clay loam"
"Grevillea","Plant Environment","Low maintenance garden, Courtyard, Poolside, Coastal garden, Drought resistant"
"Grevillea","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Semi-arid"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen"
"Grevillea","Soil Moisture","Dry, Well-drained, Moist moderate drainage"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","A medium shrub with a soft, semi weeping habit and light green foliage. Excellent for low hedges; specimen or group planting for outstanding bird habitat."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Small shrub"
"Grevillea","Height","0.4 ~ 0.6 metres"
"Grevillea","Width","0.3 ~ 0.45 metres"
"Grevillea","Flower Colour","Red, Pink"
"Grevillea","Flowering Time","Spring, Summer"
"Grevillea","Ph Level","Mildly acid, Neutral, Mildly alkaline"
"Grevillea","Soil Type","Sandy, Loamy, Sandy loam, Clay loam"
"Grevillea","Plant Environment","Low maintenance garden, Courtyard, Container growing, Drought resistant"
"Grevillea","Climate Zone","Warm temperate, Cool temperate, Mediterranean, Cool"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen, Open foliage"
"Grevillea","Soil Moisture","Dry, Well-drained"
"Grevillea","Special Uses","Cut flower"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","An upright compact small shrub with narrow erect leaves of mid green, with silvery overtones especially noticeable in bright light. An ideal plant for small gardens, mixed with other small shrubs or mass planted for special bird attraction. Eye-catching when repeat planted in containers for deck or patio."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Small shrub"
"Grevillea","Height","0.5 ~ 1 metre"
"Grevillea","Width","1.2 ~ 2 metres"
"Grevillea","Flower Colour","Red"
"Grevillea","Flowering Time","All year"
"Grevillea","Ph Level","Mildly acid, Neutral, Mildly alkaline"
"Grevillea","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Potting mix"
"Grevillea","Plant Environment","Low maintenance garden, Courtyard, Poolside, Container growing, Coastal garden, Drought resistant"
"Grevillea","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Cool"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen, Mound-shaped"
"Grevillea","Soil Moisture","Dry, Well-drained"
"Grevillea","Special Uses","Bird nesting plant, Fast growing"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","A gently arching or ground covering plant with neat bluish-green foliage and soft pink new growth. A versatile, long flowering low shrub or ground cover in open garden beds, on slopes and banks."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Small shrub"
"Grevillea","Height","0.8 ~ 1 metre"
"Grevillea","Width","0.6 ~ 0.8 metres"
"Grevillea","Flower Colour","Cream, Pink"
"Grevillea","Flowering Time","Spring, Summer, Winter"
"Grevillea","Ph Level","Mildly acid, Neutral, Mildly alkaline"
"Grevillea","Soil Type","Loamy, Sandy loam, Clay loam, Poor soil"
"Grevillea","Plant Environment","Low maintenance garden, Courtyard, Poolside, Container growing, Coastal garden, Drought resistant"
"Grevillea","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen, Mound-shaped"
"Grevillea","Soil Moisture","Dry, Well-drained"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","A small shrub with an upright to lightly spreading habit; soft grey-green leaves with striking bronze new growth.  Create a charming hedge or use as a border plant, or grow amongst other bird habitat plantings. And it is especially stunning when grown in a tub and placed on a deck, patio or in a courtyard, so the visiting honeyeaters can be seen up close and personal."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Large shrub"
"Grevillea","Height","3 ~ 4 metres"
"Grevillea","Width","4 ~ 7 metres"
"Grevillea","Flower Colour","Orange, Gold"
"Grevillea","Flowering Time","Spring, Summer"
"Grevillea","Ph Level","Mildly acid, Neutral, Mildly alkaline"
"Grevillea","Soil Type","Sandy, Loamy, Sandy loam, Clay loam"
"Grevillea","Plant Environment","Low maintenance garden, Drought resistant"
"Grevillea","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen, Open foliage"
"Grevillea","Soil Moisture","Well-drained"
"Grevillea","Special Uses","Cut flower, Fast growing"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","A spreading medium shrub with very attractive toothed leaves and yellow toothbrush-like flowers. Good general garden shrub for larger areas or as a screen plant that is regularly pruned. Makes a good cut foliage plant for floral arrangements."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Small shrub"
"Grevillea","Height","0.8 ~ 1 metre"
"Grevillea","Width","0.8 ~ 1 metre"
"Grevillea","Flower Colour","White, Pink"
"Grevillea","Flowering Time","Spring, Summer, Autumn"
"Grevillea","Ph Level","Acid, Neutral"
"Grevillea","Soil Type","Loamy, Sandy loam, Clay loam"
"Grevillea","Plant Environment","Low maintenance garden, Courtyard, Poolside, Container growing, Flower garden, Coastal garden, Drought resistant"
"Grevillea","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen, Mound-shaped"
"Grevillea","Soil Moisture","Dry, Well-drained"
"Grevillea","Frost Tolerance","Tolerates light frost"
"Grevillea","Special Uses","Cut flower, Bonsai"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","A compact, upright, fine-foliaged shrub with bunches of waxy pink and white flowers in spring, summer and autumn. Ideal for low neat hedging in narrow areas, or attractive as massed plantings in broader landscapes. Stunning as a patio plant in a decorative large container, and a posy of small sprigs will last well in water."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Large shrub"
"Grevillea","Height","3 ~ 4 metres"
"Grevillea","Width","2 ~ 3 metres"
"Grevillea","Flower Colour","Pink"
"Grevillea","Flowering Time","All year"
"Grevillea","Ph Level","Mildly acid, Neutral"
"Grevillea","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Poor soil"
"Grevillea","Plant Environment","Low maintenance garden, Coastal garden, Drought resistant"
"Grevillea","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Cool, Semi-arid"
"Grevillea","Light","Sunny"
"Grevillea","Growth Habit","Evergreen"
"Grevillea","Soil Moisture","Dry, Well-drained"
"Grevillea","Special Uses","Cut flower, Bird nesting plant, Pollution tolerant, Fast growing"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","A fast growing medium sized shrub with deeply divided dark green foliage. It has profuse large pink flowers all year round, making it a great source of food for nectar loving wildlife as well as a lovely garden feature. Can be used for cut flower use too.
Does well in most areas of Australia except for arid, and flowers best in a sunny spot. Grows to 3 to 4 metres high, and responds well to pruning, so good for screening and informal hedges. Feed in warm months with a good all purpose or native fertiliser."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Large shrub"
"Grevillea","Height","3 ~ 4 metres"
"Grevillea","Width","2 ~ 3 metres"
"Grevillea","Flower Colour","Red, Orange"
"Grevillea","Flowering Time","All year"
"Grevillea","Ph Level","Neutral"
"Grevillea","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Poor soil"
"Grevillea","Plant Environment","Low maintenance garden, Drought resistant"
"Grevillea","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen, Spreading"
"Grevillea","Soil Moisture","Dry, Well-drained"
"Grevillea","Special Uses","Cut flower, Bird nesting plant"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","A fast growing medium shrub with deeply divided dark green foliage.  The intensity of the dark orange flowers is the unique feature of this cultivar. A good feature or screening plant."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Large shrub"
"Grevillea","Height","1.5 ~ 2 metres"
"Grevillea","Width","2 metres"
"Grevillea","Flower Colour","Cream, Pink"
"Grevillea","Flowering Time","Spring, Summer, Winter"
"Grevillea","Ph Level","Mildly acid, Neutral"
"Grevillea","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Poor soil"
"Grevillea","Plant Environment","Low maintenance garden, Cold climate, Coastal garden, Drought resistant"
"Grevillea","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Cool"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen, Dense foliage, Spreading"
"Grevillea","Soil Moisture","Dry, Well-drained"
"Grevillea","Special Uses","Cut flower, Bird nesting plant, Pollution tolerant"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","A very easy care spreading medium sized shrub, growing to around 2 to 3  metres high and wide. Very similar to ‘Robyn Gordon’ but has cream and pink flowers rather than pure red. A great feature shrub, screen plant or for an informal hedge. It is frost hardy and quite drought tolerant once it is established, and like all grevilleas, attracts nectar loving birds. The foliage is slightly prickly, making this a very good nesting plant for smaller birds."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Small shrub"
"Grevillea","Height","0.8 ~ 1 metre"
"Grevillea","Width","1.5 ~ 3 metres"
"Grevillea","Flower Colour","Pink"
"Grevillea","Flowering Time","All year"
"Grevillea","Ph Level","Acid, Neutral"
"Grevillea","Soil Type","Loamy, Sandy loam, Clay loam, Potting mix"
"Grevillea","Plant Environment","Low maintenance garden, Courtyard, Container growing, Flower garden, Coastal garden, Drought resistant"
"Grevillea","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Cool"
"Grevillea","Light","Sunny"
"Grevillea","Growth Habit","Evergreen, Dense foliage, Spreading"
"Grevillea","Soil Moisture","Well-drained"
"Grevillea","Frost Tolerance","Tolerates heavy frost, Tolerates light frost"
"Grevillea","Plant Usage","Feature plant, Wow factor"
"Grevillea","Special Uses","Cut flower, Fast growing"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","A fantastic everblooming low growing shrub, roughly a metre high and two or three metres wide. A great feature or pot plant, with attractive, dense ferny looking foliage and large pink flowers that will delight nectar loving birds. An easy care plant that will tolerate frost and drought."
"Grevillea","Scientific Name","Grevillea"
"Grevillea","Family","Proteaceae"
"Grevillea","Common Name","Grevillea"
"Grevillea","Plant Type","Ground cover"
"Grevillea","Height","0.4 ~ 0.65 metres"
"Grevillea","Width","2 ~ 3 metres"
"Grevillea","Flower Colour","Red, Pink, Purple"
"Grevillea","Flowering Time","All year"
"Grevillea","Ph Level","Mildly acid, Neutral"
"Grevillea","Soil Type","Loamy, Sandy loam, Clay loam, Potting mix, Poor soil"
"Grevillea","Plant Environment","Low maintenance garden, Courtyard, Poolside, Coastal garden, Drought resistant"
"Grevillea","Climate Zone","Sub-tropical, Warm temperate, Cool temperate, Mediterranean, Cool"
"Grevillea","Light","Sunny, Light shade"
"Grevillea","Growth Habit","Evergreen, Spreading"
"Grevillea","Soil Moisture","Well-drained"
"Grevillea","Special Uses","Bird nesting plant, Fast growing"
"Grevillea","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea","description","A spreading groundcover with bronze-red deeply divided foliage. Nectar-rich toothbrush flowers of deep purple-red with pink styles appear throughout the year. The combination of foliage and flower provide safe habitat and feeding for wrens, honeyeaters and other small birds. Good for banks and as a ground cover in large gardens. Also makes a great weeping standard."
"Grevillea baileyana","Scientific Name","Grevillea baileyana"
"Grevillea baileyana","Family","Proteaceae"
"Grevillea baileyana","Common Name","Brown Silky Oak"
"Grevillea baileyana","Other Common Names","White Oak, Scrub Beefwood"
"Grevillea baileyana","Plant Type","Small tree, Large tree"
"Grevillea baileyana","Height","5 ~ 10 metres"
"Grevillea baileyana","Width","3 ~ 4 metres"
"Grevillea baileyana","Flower Colour","White, Cream"
"Grevillea baileyana","Flowering Time","Summer"
"Grevillea baileyana","Ph Level","Acid, Neutral"
"Grevillea baileyana","Soil Type","Sandy, Loamy, Sandy loam, Potting mix"
"Grevillea baileyana","Plant Environment","Low maintenance garden, Container growing"
"Grevillea baileyana","Climate Zone","Tropical, Sub-tropical, Warm temperate, Cool temperate, Mediterranean"
"Grevillea baileyana","Light","Sunny, Light shade"
"Grevillea baileyana","Growth Habit","Evergreen, Dense foliage, Column-shaped"
"Grevillea baileyana","Lifespan","Perennial"
"Grevillea baileyana","Soil Moisture","Well-drained, Moist moderate drainage"
"Grevillea baileyana","Frost Tolerance","Tolerates light frost"
"Grevillea baileyana","Plant Usage","Feature plant, Attractive foliage"
"Grevillea baileyana","Special Uses","Cut flower, Street tree, Honey producing plant, Bird nesting plant, Fast growing"
"Grevillea baileyana","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea baileyana","description","The beautiful, large, glossy foliage with a rusty tinge to the undersurface is complemented by sprays of honey-scented cream coloured flowers in summer. It is a medium to large tree that can grow well as far south as Melbourne and right up to north Queensland. Use it as a feature tree that can provide cut foliage and flowers for indoor use. It is virtually maintenance free, but be aware that the roots can be invasive, so do not plant near pipes or drainage fixtures."
"Grevillea zygoloba","Scientific Name","Grevillea zygoloba"
"Grevillea zygoloba","Family","Proteaceae"
"Grevillea zygoloba","Common Name","Grevillea"
"Grevillea zygoloba","Plant Type","Small shrub"
"Grevillea zygoloba","Height","0.8 ~ 1 metre"
"Grevillea zygoloba","Width","1.5 ~ 2 metres"
"Grevillea zygoloba","Flower Colour","White"
"Grevillea zygoloba","Flowering Time","Spring"
"Grevillea zygoloba","Ph Level","Acid, Neutral, Alkaline"
"Grevillea zygoloba","Soil Type","Sandy, Loamy, Sandy loam"
"Grevillea zygoloba","Plant Environment","Low maintenance garden, Drought resistant"
"Grevillea zygoloba","Climate Zone","Warm temperate, Mediterranean"
"Grevillea zygoloba","Light","Sunny"
"Grevillea zygoloba","Growth Habit","Evergreen"
"Grevillea zygoloba","Soil Moisture","Well-drained"
"Grevillea zygoloba","Frost Tolerance","Tolerates light frost"
"Grevillea zygoloba","Special Uses","Cut flower"
"Grevillea zygoloba","Attracts Wildlife","Bees, Nectar eating birds, Butterflies"
"Grevillea zygoloba","description","This Western Australian grevillea gives a spectacular spring display of showy flower heads on a compact low growing plant. Use it as a feature shrub in areas with low summer rainfall. Give it a light trim after flowering in spring to keep it compact."
"Grevillea crithmifolia","Scientific Name","Grevillea crithmifolia"
"Grevillea crithmifolia","Family","Proteaceae"
"Grevillea crithmifolia","Common Name","Grevillea"
"Grevillea crithmifolia","Plant Type","Small shrub, Ground cover"
"Grevillea crithmifolia","Height","0.3 ~ 0.5 metres"
"Grevillea crithmifolia","Width","2 ~ 3 metres"
"Grevillea crithmifolia","Flower Colour","White"
"Grevillea crithmifolia","Flowering Time","Spring, Winter"
"Grevillea crithmifolia","Ph Level","Neutral, Alkaline"
"Grevillea crithmifolia","Soil Type","Sandy, Loamy, Sandy loam, Clay loam, Poor soil"
"Grevillea crithmifolia","Plant Environment","Low maintenance garden, Poolside, Cottage garden, Flower garden, Coastal garden, Drought resistant"
"Grevillea crithmifolia","Climate Zone","Warm temperate, Cool temperate, Mediterranean, Cool"
"Grevillea crithmifolia","Light","Sunny, Light shade"
"Grevillea crithmifolia","Growth Habit","Evergreen, Dense foliage, Spreading, Mound-shaped"
"Grevillea crithmifolia","Lifespan","Perennial"
"Grevillea crithmifolia","Soil Moisture","Dry, Well-drained"
"Grevillea crithmifolia","Frost Tolerance","Tolerates light frost"
"Grevillea crithmifolia","Plant Usage","Groundcover, Fragrant, Border plant"
"Grevillea crithmifolia","Special Uses","Bonsai, Honey producing plant, Fast growing, Playground friendly"
"Grevillea crithmifolia","Attracts Wildlife","Bees, Nectar eating birds, Butterflies, Other insects"
"Grevillea crithmifolia","description","The naturally dense and spreading habit and profuse flowering of this low growing grevillea are its key features. Use it as a weed suppressing ground cover or as a feature shrub in the garden. It rarely needs maintenance but will usually benefit from a light trim after it finishes flowering in spring. The flowers are scented, and are attractive to nectar lovers like small birds, butterflies and other insects. It is frost hardy, and drought tolerant once established. Likes well drained sandy or more clay soils, alkaline to neutral."
"Grevillea flexuosa","Scientific Name","Grevillea flexuosa"
"Grevillea flexuosa","Family","Proteaceae"
"Grevillea flexuosa","Common Name","Zig Zag Grevillea"
"Grevillea flexuosa","Plant Type","Small shrub"
"Grevillea flexuosa","Height","1 ~ 1.5 metre"
"Grevillea flexuosa","Width","1 ~ 1.5 metre"
"Grevillea flexuosa","Flower Colour","Cream"
"Grevillea flexuosa","Flowering Time","Spring"
"Grevillea flexuosa","Ph Level","Acid, Neutral"
"Grevillea flexuosa","Soil Type","Sandy, Sandy loam, Poor soil"
"Grevillea flexuosa","Plant Environment","Low maintenance garden, Flower garden, Drought resistant"
"Grevillea flexuosa","Climate Zone","Warm temperate, Cool temperate, Mediterranean"
"Grevillea flexuosa","Light","Sunny"
