"","value","Trait","species"
"337","Watering should only occur when plants are in leaf and growing. The irrigation system for this tree should be modified to ensure that the growing area is controlled from a unique solenoid to provide total control. During winter months the installation of a black plastic covering over the root zone to shed winter rain away from the base of the trunk and its roots zone is advised. The protective sheet should be installed once leaf-fall occurs in May and can be removed in early November.","Watering","Adansonia gregorii"
"338","Pruning should not be needed.","Pruning","Adansonia gregorii"
"339","Use a 3–6 month slow-release native-plant fertiliser at the time of planting and at the beginning of summer each year.","Fertiliser","Adansonia gregorii"
"340","Adopting the above cultivation strategies will remove the likelihood of pests and diseases.","Pests and diseases","Adansonia gregorii"
"341","Boabs are highly valued by Indigenous people for their edible fruits, medicinal uses and water-holding properties. The pithy material surrounding the seed is edible and has a tangy taste. Boab tree in Kings Park in March. Photo: D. Blumer","Miscellaneous","Adansonia gregorii"
"342","Boab","common name","Adansonia gregorii"
"343","This eucalypt is a hybrid between two iconic Western Australian species Corymbia ficifolia and Corymbia ptychocarpa which are growing naturally at opposite ends of the state. Human intervention has brought these species together to create this spectacular hybrid which grows to 5 m by 3 m and will last for many years.","Description","Corymbia ‘Summer Red’"
"344","This small tree produces vibrant red flowers in large heads during summer months.","Flowers","Corymbia ‘Summer Red’"
"345","It thrives in all soil types but it is important that the site is free-draining and in full sun. ‘Summer Red’ is best planted in autumn and winter months.","Growing conditions","Corymbia ‘Summer Red’"
"346","Once established, this plant is very hardy and in some situations needs no supplementary summer watering.","Watering","Corymbia ‘Summer Red’"
"347","Pruning at an early age is required to establish the desired shape and form.","Pruning","Corymbia ‘Summer Red’"
"348","Apply slow release native blend 8–9 month fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Corymbia ‘Summer Red’"
"349","No known pests or diseases.","Pests and diseases","Corymbia ‘Summer Red’"
"350","This relatively new hybrid to horticulture is well worth trying in your home garden as a small ornamental tree.","Miscellaneous","Corymbia ‘Summer Red’"
"351","Flowering Gum Hybrid","common name","Corymbia ‘Summer Red’"
"352","This is a small spreading tree that grows to about 4 m and is found naturally in a restricted area of the northern sandplains of south-western Australia. Although it generally grows with a single trunk in cultivation it can form multiple trunks and has smooth grey or cream bark with dark red branchlets. Its light, grey- green leaves are long and narrow, up to 15 cm long.","Description","Eucalyptus beardiana"
"353","The flowers appear in late winter to early spring. As is typical of many eucalypts the developing buds are a feature of this small tree. These mature over a number of months in pendulous inflorescences with up to eleven buds in each. They are about 2 cm in length with a ‘beaked’ or conical operculum (bud cap) and a cup-shaped base. When the flowers appear they are creamy white and hang in showy clusters.","Flowers","Eucalyptus beardiana"
"354","So far E. beardiana has not been grown extensively in home gardens. Beard’s Mallee requires a well-drained, sunny spot and is tolerant of drought conditions and light to moderate frosts. It is advisable to plant in late autumn and early winter when the soil is still warm and there is the likelihood of rain to follow.","Growing conditions","Eucalyptus beardiana"
"355","Water well at the time of planting and monitor the soil moisture during the first winter. Water during dry spells of that winter and the following spring and twice a week during the first summer and autumn. Thereafter, it should not be necessary to give extra water unless there is a prolonged dry spell.","Watering","Eucalyptus beardiana"
"356","Beard’s Mallee may branch and become multi-trunked at an early stage because of its natural mallee habit or it may grow with a single trunk. It is best left to form without pruning, with only light pruning to retain its form.","Pruning","Eucalyptus beardiana"
"357","Apply a slow-release 8–9 month native fertiliser at time of planting and this can be repeated annually if thought necessary.","Fertiliser","Eucalyptus beardiana"
"358","This species can be susceptible to scale.","Pests and diseases","Eucalyptus beardiana"
"359","The word mallee describes eucalypt species that have multiple stems arising from a lignotuber or swelling at the base. However, The Mallee refers to a semi-arid region where these species predominate. Beard’s Mallee was named for Dr John Beard, long-serving former Director of Kings Park and creator of the Kings Park Botanic Garden.","Miscellaneous","Eucalyptus beardiana"
"360","Beard’s Mallee","common name","Eucalyptus beardiana"
"361","The Square-fruited Mallet is a small upright tree growing to about 5 m. It has smooth bark and a trunk that is unusually square when juvenile. Its leaves are very large (20 cm long and 5 cm wide), thick and rigid and are a dark, glossy-green with a well-defined mid-rib. The form and foliage, combined with its bright red buds and large fruit are attractive features of this tree.","Description","Eucalyptus brandiana"
"362","Flowers appear in the leaf axils and take several months to develop. When nearing maturity they are an attractive feature—bright red and square-shaped with prominent ‘wings’ at each corner. The operculum (bud cap) is a pyramid shape and when it falls it reveals many long bright pink stamens forming the flower. The fruits are large, attractive and winged.","Flowers","Eucalyptus brandiana"
"363","This is a tree from the south coast on free-draining soils, so a well-drained site is advisable. E. brandiana prefers a sunny open position, but can tolerate some shade. It should be planted in late autumn to early winter when rains are expected.","Growing conditions","Eucalyptus brandiana"
"364","Water well at the time of planting and monitor the moisture in the soil during the first winter and spring. Ensure the tree has a deep watering twice a week in the first summer and into the following autumn until rains return. Once established it should only require supplementary watering during extended dry periods.","Watering","Eucalyptus brandiana"
"365","As this is a small tree with an upright habit it should not require pruning.","Pruning","Eucalyptus brandiana"
"366","Apply 8-9 month slow-release fertiliser at time of planting and thereafter annually if necessary for the soil-type.","Fertiliser","Eucalyptus brandiana"
"367","This species can be susceptible to scale.","Pests and diseases","Eucalyptus brandiana"
"368","The term mallet refers to a form of tree that has a single trunk and lacks a lignotuber. It is applicable to particular types of trees occurring only in Western Australia. The word mallee, however, is used to describe trees that grow several branches from a lignotuber at the base of the plant forming a number of trunks.","Miscellaneous","Eucalyptus brandiana"
"369","Square-fruited Mallet","common name","Eucalyptus brandiana"
"370","This graceful, weeping tree grows to 6 m high. Its young stems, leaves, buds and fruit are blue-green in colour and are covered in a showy white, waxy bloom, that is, they are glaucous. The mature trunk has decorative minni-ritchi bark—bark that peels in small curly flakes but does not detach. The trunk, bark, foliage, flowers and fruit are all very appealing attributes.","Description","Eucalyptus caesia"
"371","Silver Princess flowers range in colour from pink to red and are up to 4 cm in diameter. It is a signature plant heralding the winter months. The spectacular showy flowers occur in clusters and produce nectar which is a great food source for birds during winter.","Flowers","Eucalyptus caesia"
"372","This plant occurs naturally on granite outcrops and thrives in all soil types, but it is important that the site is free-draining and in full sun. The Silver Princess is best planted in the autumn and winter months.","Growing conditions","Eucalyptus caesia"
"373","Water well at planting time and monitor soil moisture until rains return in the following winter. Give a deep watering twice a week through the first summer. Once established, it should not require further water, except during prolonged dry spells.","Watering","Eucalyptus caesia"
"374","This tree has a natural irregular and weeping form that forms part of its character and it is therefore difficult to prune. Some light pruning can be done once established if desired, including cutting stems for floral arrangements. Selective removal of some fruits will reduce branch weight and risk of splitting. It can be cut at the base and allowed to re-shoot.","Pruning","Eucalyptus caesia"
"375","Apply slow-release native-blend 8– 9 month fertiliser at the time of planting and annually as required in the spring months.","Fertiliser","Eucalyptus caesia"
"376","This species sometimes gets scale and is prone to wind damage, but usually recovers readily. Any damaged branches can be pruned carefully.","Pests and diseases","Eucalyptus caesia"
"377","Plant the Silver Princess as a specimen tree or in groups. Eucalyptus caesia is threatened in the wild but has been a garden favourite for many years.","Miscellaneous","Eucalyptus caesia"
"378","Silver Princess","common name","Eucalyptus caesia"
"379","When in flower the Illyarrie is a spectacular eucalypt. The contrasting bright yellow flowers and red bud caps, along with its small size—up to 10 m high and 3–6 m wide—make this tree an outstanding specimen for the garden. The bark is smooth but can have a few rough patches where it persists on the trunk instead of being shed.","Description","Eucalyptus erythrocorys"
"380","Flowering is generally from February to April; however, in cultivation trees often flower until May. The bright yellow flowers are 50–60 mm wide. They will attract many birds to the garden.","Flowers","Eucalyptus erythrocorys"
"381","Eucalyptus erythrocorys needs an alkaline to slightly acidic soil, plenty of sunshine and good drainage. It is advisable to plant in late autumn or early winter when the soil is still warm and there is the likelihood of rain to follow.","Growing conditions","Eucalyptus erythrocorys"
"382","Water well at the time of planting and monitor the moisture in the soil during the first winter and spring. Ensure the tree has a deep watering twice a week in the first summer and into the following autumn until rains return. Once established it should only require supplementary watering during extended dry periods.","Watering","Eucalyptus erythrocorys"
"383","In cultivation trees may lose limbs due to the weight of heavy fruit. Pruning off the fruit can alleviate this problem. When necessary trees can be pruned hard, almost to ground level—this results in regrowth from the trunk and lignotuber.","Pruning","Eucalyptus erythrocorys"
"384","Apply a slow-release native plant fertiliser at time of planting and if necessary for the first few years.","Fertiliser","Eucalyptus erythrocorys"
"385","In the home garden, this species is rarely susceptible to pests or diseases.","Pests and diseases","Eucalyptus erythrocorys"
"386","The species name erythrocorys comes from Greek erythro, red and korys, helmet, referring to the bright red operculum. ","Miscellaneous","Eucalyptus erythrocorys"
"387","Illyarrie","common name","Eucalyptus erythrocorys"
"388","This tree can be variable in form ranging from small and compact to an irregular-shaped taller form, 1.5–4 m high. It generally has a single trunk with rough lower bark but smooth upper branches. Its most attractive feature is its highly ornamental buds and fruit. This eucalypt is widespread in the Pilbara and Murchison regions, particularly the Newman district.","Description","Eucalyptus kingsmillii"
"389","The flowers are highly decorative, usually with pink to red buds that open to reveal attractive and contrasting cream to yellow flowers to 3 cm across. The buds and operculums (bud caps) are prominently-ridged and the pendulous flowers occur in multiple clusters in threes during winter and spring.","Flowers","Eucalyptus kingsmillii"
"390","This species has been found on a variety of soils but requires a well-drained site as it is often found on rocky rises and sandplains. Plant in late autumn or in winter in a full-sun position but not in very cold weather because it comes from the northern parts of the state.","Growing conditions","Eucalyptus kingsmillii"
"391","Water well at the time of planting and monitor soil moisture until rains return the following winter. Give a deep watering twice a week during the first summer and autumn. This species is generally drought tolerant so it should not be necessary to give extra water unless there is a prolonged dry spell.","Watering","Eucalyptus kingsmillii"
"392","Pruning may be required if branches become laden with fruit, in which case selective removal of fruit or light pruning after flowering will help.","Pruning","Eucalyptus kingsmillii"
"393","Apply slow-release 8-9 month native fertiliser at the time of planting and, if required, annually.","Fertiliser","Eucalyptus kingsmillii"
"394","This species can be susceptible to scale.","Pests and diseases","Eucalyptus kingsmillii"
"395","This tree is named in honour of Western Australian politician, W. Kingsmill, who was active in forestry matters. While north of Leonora in 1918 he found the showy mallee and collected the type specimen from which the species was described and named.","Miscellaneous","Eucalyptus kingsmillii"
"396","Kingsmill's Mallee","common name","Eucalyptus kingsmillii"
"397","Eucalyptus kruseana is an unusual and very attractive small tree growing to about 2 m high by 1.5 m wide. 'Bookleaf' accurately describes the closeness of the tiny, round, blue-grey, stalkless leaves which cling densely to the branches. In cultivation the species often develops a single trunk rather than the multiple stems of a mallee. The bark of the main stem is reddish brown, but splits longitudinally and rolls at the edges to reveal pale green inner bark. This interesting feature is known as minni-ritchi bark. E. kruseana may flower while still very young and is popular in cultivation due to its attractive bark, foliage, buds, flowers and fruit.","Description","Eucalyptus kruseana"
"398","The buds, which are borne in clusters, open to reveal creamy-yellow flowers in autumn to winter, offset by the lovely grey foliage. They are not individually large, but are grouped so that they encircle the branches like floral bracelets.","Flowers","Eucalyptus kruseana"
"399","The Bookleaf Mallee thrives in most soil types, including coastal sands, but it is important that the site is free-draining and sunny. It is best planted in the autumn and winter months and it will tolerate frost.","Growing conditions","Eucalyptus kruseana"
"400","Water well at the time of planting and monitor the soil moisture during the first winter. It may be necessary to water during dry spells of that winter and the following spring. Give a deep watering twice a week during the first summer and autumn. Thereafter, it should not be necessary to give extra water unless there is a prolonged dry spell.","Watering","Eucalyptus kruseana"
"401","Prune at an early age to establish the desired form. Maintain the shape by light pruning or cutting the attractive foliage for floral arrangements. This tree can withstand hard pruning.","Pruning","Eucalyptus kruseana"
"402","Apply slow-release native-blend 8–9 month fertiliser at time of planting.","Fertiliser","Eucalyptus kruseana"
"403","In the home garden, this species can be susceptible to caterpillars, especially when young.","Pests and diseases","Eucalyptus kruseana"
"404","The very attractive young stems, buds and fruit are blue- or grey- green with a white, waxy bloom, that is, they are glaucous.","Miscellaneous","Eucalyptus kruseana"
"405","Bookleaf Mallee","common name","Eucalyptus kruseana"
"406","The Small-leaved Mottlecah is a more compact and less sprawling subspecies than E. macrocarpa subsp. macrocarpa growing 0.8–4 m high with attractive grey leaves that are almost as wide (7 cm) as they are long (10 cm), but smaller than its more southern and inland relative. It has smooth grey to salmon-pink bark and striking large flowers. This subspecies of the beautiful and popular Eucalyptus macrocarpa is confined in the wild to the northern sandplains.","Description","Eucalyptus macrocarpa subsp. elachantha"
"407","The buds of this species are covered in a white bloom and open to reveal very large, pink to red flowers around 6–8 cm across. Offset by the decorative grey foliage, the flowers are an attractive feature between August and September. They are sessile (stalkless) and appear singly on the stems. The large fruit are about 6 cm across.","Flowers","Eucalyptus macrocarpa subsp. elachantha"
"408","These plants naturally occur on white or grey sand over laterite so they require a well-drained, sunny position. They are best planted in the autumn and winter months.","Growing conditions","Eucalyptus macrocarpa subsp. elachantha"
"409","Water well at planting time and monitor soil moisture until the next winter. Give a deep watering twice a week during the first summer and autumn. Thereafter, it should not be necessary to give extra water unless there is a prolonged dry spell.","Watering","Eucalyptus macrocarpa subsp. elachantha"
"410","This tree may not respond well to pruning and there should be little need for it as it has a compact habit.","Pruning","Eucalyptus macrocarpa subsp. elachantha"
"411","Apply slow-release 8-9 month fertiliser at planting and thereafter yearly if soils warrant it.","Fertiliser","Eucalyptus macrocarpa subsp. elachantha"
"412","This species can be susceptible to scale and caterpillar attack when young.","Pests and diseases","Eucalyptus macrocarpa subsp. elachantha"
"413","The word elachantha means small or short. In this case it is intended as a reference to the fact that the leaves are smaller and the tree is more compact than the more commonly grown E. macrocarpa subsp. macrocarpa.","Miscellaneous","Eucalyptus macrocarpa subsp. elachantha"
"414","Small-leaved Mottlecah","common name","Eucalyptus macrocarpa subsp. elachantha"
"415","Eucalyptus preissiana is an attractive low, shrub-like species of eucalypt growing to about 3 m high and 2 m wide. It has smooth bark and thick, stiff, grey-green leaves. Its large bell-shaped fruits, which remain on the plant for many years unless picked, provide interest when the tree is not in flower.","Description","Eucalyptus preissiana"
"416","In spring, the trees produce rich yellow blossoms, about 3 cm in diameter that are highly ornamental, as are its fruit. Flowering can occur when the tree is quite young, delivering an early reward.","Flowers","Eucalyptus preissiana"
"417","The Bell-fruited Mallee thrives in most soil types, including coastal sands, but it is important that the site is free-draining and sunny. It is best planted in the autumn and winter months. It will withstand frost once established but needs protection when young.","Growing conditions","Eucalyptus preissiana"
"418","Water well at the time of planting and monitor the soil moisture during the first winter and spring. Ensure the tree is given a deep watering twice a week in the first summer and into the following autumn until rains return. Once established it should require supplementary watering only during extended dry periods.","Watering","Eucalyptus preissiana"
"419","Prune lightly at an early age to retain a compact form and after flowering if desired to maintain shape.","Pruning","Eucalyptus preissiana"
"420","Apply slow-release native-blend 8–9 month fertiliser at time of planting and if necessary for the first few years.","Fertiliser","Eucalyptus preissiana"
"421","This species can be susceptible to scale.","Pests and diseases","Eucalyptus preissiana"
"422","The word mallee is used to describe any species of eucalypt having multiple stems arising from a lignotuber, or swelling at the base.","Miscellaneous","Eucalyptus preissiana"
"423","Bell–fruited Mallee","common name","Eucalyptus preissiana"
"424","Eucalyptus pyriformis is a highly ornamental open, shrub-like species of eucalypt growing to about 3 m high and 3 m wide. In cultivation, it usually grows with a single trunk but can be multi-stemmed. It has smooth bark, often shiny red and contrasting with the thick, pale, grey-green leaves. Its large, ribbed, pear-shaped buds and big, hemispherical fruits provide interest when the tree is not in flower.","Description","Eucalyptus pyriformis"
"425","Flowering occurs between May and October with large white, cream, yellow or red flowers, some 6 cm across. They are usually clustered in twos or threes and produce abundant nectar and pollen providing a good food source for wildlife.","Flowers","Eucalyptus pyriformis"
"426","The Pear-fruited Mallee thrives in most soil types but it is important that the site is free-draining and sunny. It is best planted in the autumn and winter months and although frost tolerant when established, may need some protection when young.","Growing conditions","Eucalyptus pyriformis"
"427","Water well at the time of planting and monitor the moisture in the soil during the first winter and spring. Ensure the tree has a deep watering twice a week in the first summer and into the following autumn until rains return. Once established it should only require supplementary watering during extended dry periods.","Watering","Eucalyptus pyriformis"
"428","If planted in a full-sun position this species is best left to develop without pruning and will naturally produce a good form. Prune lightly if desired to maintain the shape. It can be coppiced once well established to rejuvenate the tree.","Pruning","Eucalyptus pyriformis"
"429","Apply slow-release native-blend 8–9 month fertiliser at time of planting.","Fertiliser","Eucalyptus pyriformis"
"430","The species is rarely susceptible to pests or diseases.","Pests and diseases","Eucalyptus pyriformis"
"431","The word mallee is used to describe any species of eucalypt having multiple stems arising from a lignotuber, or swelling at the base. However, The Mallee refers to a semi-arid region where these species predominate.","Miscellaneous","Eucalyptus pyriformis"
"432","Pear–fruited Mallee","common name","Eucalyptus pyriformis"
"433","Eucalyptus torquata is an attractive small shade tree growing to 6–8 m, with a single trunk and spread of some 5 m. Its rough greyish bark contrasts pleasantly with the blue-green pendulous foliage, but its main features are the unusually-shaped red buds and abundance of blossom. It may flower while still a very young tree.","Description","Eucalyptus torquata"
"434","As the common name implies, the profuse flowers are reddish-pink or coral coloured and hang decoratively on reddish stems. The clusters of five to seven flowers, each about 3 cm across, occur over a long period from August to December. The buds are attractive and prominently ribbed with an extended beak-like cap. The flowers produce abundant nectar and pollen providing a good food source for wildlife and are relatively long-lasting as a cut flower.","Flowers","Eucalyptus torquata"
"435","The Coral Gum thrives in most soil types but it is important that the site is free- draining and sunny. It is suitable for soils with underlying limestone but also tolerates slight acidity. E. torquata is best planted in the autumn and winter months.","Growing conditions","Eucalyptus torquata"
"436","Water well at the time of planting and monitor the soil moisture during the first winter and spring. Ensure the tree is given a deep watering twice a week in the first summer and into the following autumn until rains return. Once established it should only require supplementary watering during extended dry periods.","Watering","Eucalyptus torquata"
"437","This tree does not usually require formative pruning but can respond well to light pruning to retain shape.","Pruning","Eucalyptus torquata"
"438","Apply slow-release native-blend 8–9 month fertiliser at time of planting.","Fertiliser","Eucalyptus torquata"
"439","This species can be susceptible to scale.","Pests and diseases","Eucalyptus torquata"
"440","The Latin word torquatus Miscellaneous This species can be susceptible to scale. Pests and diseases Apply slow-release native-blend 8–9 month fertiliser at time of planting. Fertiliser light pruning to retain shape. This tree does not usually require formative pruning but can respond well to Pruning it should only require supplementary watering during extended dry periods. first summer and into the following autumn until rains return. Once established winter and spring. Ensure the tree is given a deep watering twice a week in the Water well at the time of planting and monitor the soil moisture during the first Watering months. tolerates slight acidity. E. torquata is best planted in the autumn and winter draining and sunny. It is suitable for soils with underlying limestone but also The Coral Gum thrives in most soil types but it is important that the site is free- Growing conditions food source for wildlife and are relatively long-lasting as a cut flower. beak-like cap. The flowers produce abundant nectar and pollen providing a good December. The buds are attractive and prominently ribbed with an extended flowers, each about 3 cm across, occur over a long period from August to coloured and hang decoratively on reddish stems. The clusters of five to seven As the common name implies, the profuse flowers are reddish-pink or coral Flowers","Miscellaneous","Eucalyptus torquata"
"441","Coral Gum","common name","Eucalyptus torquata"
"442","This iconic small ornamental tree which grows to about 7 m in cultivation has a very attractive smooth white trunk and blue-green (glaucous) leaves, that are covered with a white, waxy bloom. It is usually grown for its attractive white trunk and irregular form, which gives it character.","Description","Eucalyptus victrix"
"443","The cream flowers are not really a visual feature of this species as they are relatively small, appearing in the summer months. The nectar attracts insects and birds and the sweet scent of the flowers will fill the garden.","Flowers","Eucalyptus victrix"
"444","Eucalyptus victrix is suited to most soil types but it is important that the site is free-draining and in full sun. It is best planted in the autumn and winter months.","Growing conditions","Eucalyptus victrix"
"445","Water well at the time of planting and monitor the soil moisture during the first winter and spring. Ensure the tree has a deep watering twice a week in the first summer and into the following autumn until rains return. Once established it should only require supplementary watering during extended dry periods.","Watering","Eucalyptus victrix"
"446","This tree does not usually require pruning but may be pruned lightly after flowering to maintain the desired shape and form.","Pruning","Eucalyptus victrix"
"447","Apply slow-release native-blend 8–9 month fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Eucalyptus victrix"
"448","This species is sometimes affected by scale.","Pests and diseases","Eucalyptus victrix"
"449","The bush ballad Waltzing Matilda has made the Coolibah an iconic Australian tree. Plant the Western Coolibah as a specimen tree or in groups.","Miscellaneous","Eucalyptus victrix"
"450","Coolibah","common name","Eucalyptus victrix"
"451","The seeds of many hakeas provide food for black cockatoos—Hakea laurina is one such. It is a small, dense ornamental tree that grows to 6 m and that can live for many years.","Description","Hakea laurina"
"452","The spectacular red and cream flowers are globular to about 5 cm across, resembling a pin cushion and hence its common name. They appear from late autumn through the winter months.","Flowers","Hakea laurina"
"453","The Pincushion Hakea thrives in full sun in a range of soils that drain well and are non-alkaline. It is best planted in the autumn and winter months.","Growing conditions","Hakea laurina"
"454","Once established it is very hardy and should need no supplementary watering.","Watering","Hakea laurina"
"455","Pruning can be undertaken to encourage growth to the shape required.","Pruning","Hakea laurina"
"456","Apply a slow-release native plant fertiliser at time of planting and annually as required in the spring months.","Fertiliser","Hakea laurina"
"457","There are no known pests or diseases.","Pests and diseases","Hakea laurina"
"458","Pincushion Hakea can be grown as an individual Miscellaneous information There are no known pests or diseases. Pests and diseases required in the spring months. Apply a slow-release native plant fertiliser at time of planting and annually as Fertiliser Pruning can be undertaken to encourage growth to the shape required. Pruning Once established it is very hardy and should need no supplementary watering. Watering non-alkaline. It is best planted in the autumn and winter months. The Pincushion Hakea thrives in full sun in a range of soils that drain well and are Growing conditions autumn through the winter months. resembling a pin cushion and hence its common name. They appear from late The spectacular red and cream flowers are globular to about 5 cm across,","Miscellaneous","Hakea laurina"
"459","Pincushion Hakea","common name","Hakea laurina"
