"","Species","Description","Cultivar","Trait","data"
"163","Acer platanoides","This cultivar of Norway maple has a height of 40 to 50 feet and a spread of about 30 feet making it narrower than the species. Branches on young and medium-aged trees are more upright, reducing the pruning requirement when planted close to buildings or other structures compared to the species. The upright, oval crown fills with greenish-yellow flowers in the spring. Norway maple's dense shade and shallow root system competes with lawn grasses, and the shallow roots can make mowing under the tree difficult. The shallow roots can heave sidewalks so be certain to locate the tree at least four to six feet away. The tree is easily transplanted, grows quickly, is adapted to a wide variety of soils (including alkaline), and has brilliant yellow fall color unmatched by most trees. It can also tolerate coastal conditions. Well adapted to street tree plantings, the species is often overused but this cultivar will make a fine urban tree.","Cleveland","Leaf type","simple"
"164","Acer platanoides","Norway maple in cultivation has a height of 40 to 50 feet but can grow much taller when shaded on the sides. The rounded crown fills with greenish-yellow flowers in the spring. Norway maple's dense shade and shallow root system competes with lawn grasses, and the shallow roots can make mowing under the tree difficult. The shallow roots can heave sidewalks so be certain to locate the tree 4 to 6 feet away. The tree is easily transplanted, grows quickly, is adapted to a wide variety of soils (including alkaline), and has brilliant yellow fall color unmatched by most trees. It can also tolerate coastal conditions.  Well adapted to street tree plantings, it is often overused.","Norway maple","Leaf type","simple"
"165","Ilex opaca","A popular landscape plant since the beginning of American history, this broad-leafed evergreen has served a variety of uses through the years.  The American Indians used preserved Holly berries as decorative buttons and were much sought after by other tribes who bartered for them.  The wood has been used for making canes, scroll work and furniture, and has even been substituted for ebony in inlay work when stained black.","Stewart's Silver Crown","Leaf type","simple"
"166","Ginkgo biloba","This male cultivar of Ginkgo is practically pest-free, resistant to storm damage, and casts dense shade.  It makes a durable street tree where there is enough overhead space to accommodate the large size.  The shape is often irregular with a large branch or two seemingly forming its own tree on the trunk.  But this does not detract from its usefulness as a city tree unless the tree will be growing in a restricted overhead space.  If this is the case, select from the narrow upright cultivars such as `Princeton Sentry' and `Fairmont'.  Ginkgo tolerates most soil, including compacted, and alkaline.  The tree is easily transplanted and has a vivid yellow fall color which is second to none in brilliance, even in the south.  However, leaves fall quickly and the fall color show is short.  Unlike the species, the tree does not set fruit.","Autumn Gold","Leaf type","simple"
"167","Acer rubrum","This cultivar of red maple has a dense, rounded crown and is a slow grower, reaching a height of 30 feet with a wider spread. Unless irrigated or on a wet site, red maple is best used north of USDA hardiness zone 9. Trees are often shorter in the southern part of its range unless growing next to a stream or on a wet site. The newly emerging leaves and red flowers and fruits signal that spring has come. They appear in December and January in Florida, later in the northern part of its range. The seeds of red maple are quite popular with squirrels and birds. This tree if sometimes confused with red-leaved cultivars of Norway maple. It is well suited as a street tree in northern and mid-south climates in residential and other suburban areas, but the bark is thin and easily damaged by mowers. Its small stature makes it a candidate for planting near overhead wires.","Gerling","Leaf type","simple"
"168","Delonix regia","This many-branched, broad, spreading, flat-crowned deciduous tree is well-known for its brilliant display of red-orange bloom, literally covering the tree tops from May to July. There is nothing like a Royal Poinciana (or better yet, a group of them) in full bloom. The fine, soft, delicate leaflets afford dappled shade during the remainder of the growing season, making Royal Poinciana a favorite shade tree or freestanding specimens in large, open lawns. The tree is often broader than tall, growing about 40 feet high and 60 feet wide. Trunks can become as large as 50 inches or more in diameter. Eighteen-inch-long, dark brown seed pods hang on the tree throughout the winter, then fall on the ground in spring creating a nuisance.",NA,"Leaf arrangement","alternate"
"169","Cupressus macrocarpa","Monterey cypress thrive near the sea on the west coast of the United States, where it is native to the Monterey Bay, California, area. It has a high wind tolerance, becoming increasingly more attractive under heavy wind conditions. Narrow and pyramid-shaped when young, monterey cypress spreads with age, and can become 70 to 90 feet in height. It is one of the major trees planted to hold the sands in Golden Gate Park, San Francisco, but unfortunately many are dying. The plant is only grown in the western states.",NA,"Leaf arrangement","opposite/subopposite"
"170","Sapium sebiferum","With oval, pointed, deciduous leaves and an oval, open canopy, Chinese tallowtree creates soft, dappled shade. The trunk normally dominates, snaking up through the crown sporting major limbs well spaced along the trunk. Enough light will penetrate to allow lawn grasses to thrive beneath this rapidly-growing, 30- to 35-foot-tall tree. Yellow, terminal flower spikes appear in spring and are followed by brown capsules which burst and fall off, leaving behind wax-coated, white, berrylike seeds, hence the common name, popcorn tree. These berries persist throughout the winter, even after the fluttering, heart-shaped leaves have turned gorgeous autumn shades of red, yellow or orange and have fallen. Tallowtree is one of the only reliable fall coloring trees for USDA hardiness zones 8b and 9a.  The new growth in spring is red-tinged. The waxy coating on the seeds is extracted by the Chinese for use in candles and soap and the milky sap inside the twigs is poisonous.",NA,"Leaf arrangement","alternate"
"171","Acer negundo","Boxelder forms a 40-to 50-foot-tall rounded canopy of very light green foliage edged with yellow. The unusual foliage of this cultivar makes this a difficult tree to work into most landscapes. The boxelder is an undesirable tree for many urban situations and in some cities, planting it may be illegal. The undesirable characteristics are brittle, weak wood, short life, susceptibility to boxelder bug, and trunk decay. But the tree will grow just about anywhere and therefore it may have uses due to its adaptability. The best thing about the tree is that it will grow on adverse sites where more desirable trees may not. If you use the tree, plant it for its quick growth, but interplant with more desirable trees to provide for a lasting tree canopy. Boxelder is native along streambanks over a wide area of the United States, grows along flood plains, and naturalizes quickly on disturbed sites. It may be best to restrict planting to these areas. It is tolerant of drought and was planted as a shelter-belt tree.","Elegans","Leaf arrangement","opposite/subopposite"
"172","Acer negundo","Boxelder forms a 40-to 50-foot-tall rounded canopy of very light green foliage tinged pink in the spring. Some of the pink may hang on throughout the year in the north and the leaf margins may remain whitish. The boxelder is an undesirable tree for many urban situations and in some cities, planting it may be illegal. The undesirable characteristics are brittle, weak wood, short life, susceptibility to boxelder bug, and trunk decay. But the tree will grow just about anywhere and therefore it may have uses due to its adaptability. The best thing about the tree is that it will grow on adverse sites where more desirable trees may not. If you use the tree, plant it for its quick growth, but interplant with more desirable trees to provide for a lasting tree canopy. Boxelder is native along streambanks over a wide area of the United States, grows along flood plains, and naturalizes quickly on disturbed sites. It may be best to restrict planting to these areas. It is tolerant of drought and was planted as a shelter-belt tree.","Flamingo","Leaf arrangement","opposite/subopposite"
"173","Acer palmatum","This cultivar of Japanese maple has a height and spread of about 12 feet. The multiple trunks are picturesque, grey, and show nicely when lit up at night. 'Burgundy Lace' Japanese maple is grown for its purple-red colored leaves, interesting growth habit, and fine leaf texture. Leaves are dissected almost to the petiole. The red leaf color is best as the new leaves emerge in the spring and in the fall. Leaves turn almost green during the heat of the summer. Growth habit is more like a large shrub with branches to the ground. This may be the best way to grow this tree to show off its wonderful texture. Be sure to clear all turf away from beneath the branches of these low growing types so the lawn mower will not damage the tree. This compact cultivar makes a wonderful accent for any landscape.","Burgundy Lace","Leaf arrangement","opposite/subopposite"
"174","Acer palmatum","This cultivar of Japanese maple has a height and spread of about 12 feet. The multiple trunks are picturesque, grey, and show nicely when lit up at night. Japanese maple is grown for its red-colored leaves, interesting growth habit and fine leaf texture. Fall color is a dark burgundy-red and is often striking, even on trees grown in shade. Growth habit, is a weeping globe, branching to the ground. The globose selections look best when they are allowed to branch to the ground. Be sure to clear all turf away from beneath the branches of these low growing types so the lawn mower will not damage the tree. This compact cultivar makes a wonderful accent for any landscape.","Ornatum","Leaf arrangement","opposite/subopposite"
"175","Acer palmatum","This red leaf Japanese maple has finely-divided, lacy leaves of a deep red in the spring but foliage color fades to light green in early summer. Leaves take on a beautiful golden, orange or red color in fall. A small, deciduous tree with delicate, upright branches, 'Atropurpureum' Japanese maple reaches a height and spread of about 20 feet, forming a vase shaped specimen tree. The multiple trunks are picturesque and show nicely when lit up at night from beneath the canopy. This cultivar of Japanese maple is grown for its colored leaves and interesting growth habit.","Atropurpureum","Leaf arrangement","opposite/subopposite"
"176","Acer saccharum","This cultivar of sugar maple is very upright and compact. The tree will probably reach 60 feet at maturity in a landscape, but it will grow slowly. The crown spreads slowly to about 15 feet wide. It grows about one foot or less each year in most soils but is sensitive to reflected heat, and to drought, turning the leaves brown (scorch) along their edges. Leaf scorch from dry soil is often evident in areas where the root system is restricted to a small soil area, such as a street tree planting. It is more drought-tolerant in open areas where the roots can proliferate into a large soil space.","Newton Sentry","Leaf arrangement","opposite/subopposite"
"177","Acer platanoides","This cultivar of Norway maple has a height and spread of 15 to 20 feet. The dense, compact, rounded crown fills with greenish-yellow flowers in the spring. Norway maple's dense shade and shallow root system competes with lawn grasses, and the shallow roots can make mowing under the tree a little difficult, but this is less of a problem on this small cultivar. The tree is easily transplanted, grows slowly, is adapted to a wide variety of soils (including alkaline), and has brilliant yellow fall color unmatched by most trees. It can also tolerate coastal conditions. Well adapted to street tree plantings where there are overhead wires. If you are looking for a compact, meatball-on-a-stick tree that requires no pruning, this may be the tree for you.","Globosum","Leaf arrangement","opposite/subopposite"
"178","Acer platanoides","This cultivar of Norway maple has a height and spread of about 25 feet but can grow taller when shaded on the sides. The rounded crown fills with greenish-yellow flowers in the spring. Norway maple's dense shade and shallow root system competes with lawn grasses, and the shallow roots can make mowing under the tree difficult. The shallow roots can heave sidewalks (probably not as bad as the species) so be certain to locate the tree 4 to 6 feet away. The tree is easily transplanted, grows quickly, is adapted to a wide variety of soils (including alkaline), and has brilliant yellow fall color unmatched by most trees. It can also tolerate coastal conditions. Well adapted to street tree plantings, the species is often overused but this cultivar could be used more due to its small size.","Almira","Leaf arrangement","opposite/subopposite"
"179","Acer platanoides","This cultivar of Norway maple grows to a height of about 50 feet with a very narrow crown. There may be confusion in the trade on how to separate this from the cultivar 'Columnare'. The columnar or fastigiate crown fills with greenish-yellow flowers in the spring. Norway maple's shallow root system competes with lawn grasses, and the shallow roots can make mowing under the tree difficult. The shallow roots can heave sidewalks so be certain to locate the tree four to six feet away. The tree is easily transplanted, grows quickly, is adapted to a wide variety of soils (including alkaline), and has brilliant orange-yellow fall color unmatched by most trees. It can also tolerate coastal conditions. Well adapted to street tree plantings, especially those which have limited vertical space for crown expansion.","Erectum","Leaf arrangement","opposite/subopposite"
"180","Abies concolor","One of the best firs for the east, white fir reaches a mature height of 75 feet or more but is often much smaller in the landscape, 40 to 50 feet. It has a pyramidal shape and horizontal branching with the lower branches drooping toward the ground. The tree should be grown in an open area so the lower branches can touch the ground. When branched to the ground, white fir will cast dense shade, which kills turf grass. The foliage is a wonderful blue-gray that appears much like that of the Colorado blue spruce. White fir may grow one and one-half feet per year with good growing conditions. This tree can take exposure and will withstand some heat and drought better than most firs. Abies firma is much more heat-tolerant, has green glossy foliage, and grows even further south into USDA hardiness zone 8.",NA,"Leaf arrangement","spiral"
"181","Acer palmatum","This Japanese maple has a mounded shape with an ultimate height or about 15 feet and a spread to about 20 feet. The dark red, simple leaves are finely divided into lobes, and the sinuses and so deep that leaves appear to be palmately compound. The slow growth rate makes this nicely suited to residential landscapes. Its popularity is due mostly to the delicate leaves that stay red for most of the summer. Leaves may turn to greenish red in the hot weather in the southern part of its range. The multiple trunks are muscular-looking, picturesque, grey, and show nicely when lighted at night. Fall color is reddish and less striking than other Japanese maples. The globose canopy shape looks best when it is allowed to branch to the ground. Lower foliage branches can be thinned to display the attractive bark and trunk structure.","Dissectum Atropurpureum","Leaf arrangement","opposite/subopposite"
"182","Ostrya virginiana","This shade-tolerant tree slowly grows to 50 feet in height with a 25 to 30-foot spread but is often 25 to 40 feet tall, forming an oval or round canopy.  Hophornbeam has a lovely yellow fall color, and the small nutlets, which ripen in summer and fall, are used by birds and mammals during the winter.  Bark is an attractive orange or grayish brown peeling off in longitudinal strips.  The finely-textured crown casts a medium or dense shade in full sun, but is more open in the shade casting a light shadow.",NA,"Leaf arrangement","alternate"
"183","Pyrus calleryana","`Bradford' is the original introduction of Callery Pear and has an inferior branching habit when compared to other cultivars which have since been developed.  It has many vertical limbs with embedded bark packed closely on the trunk and grows about 40 feet high by 30 to 45 feet wide but the crown is dense and the branches long and not tapered, making it quite susceptible to wind and ice damage and other breakage.  However, it does put on a gorgeous, early spring display of pure white blossoms, and the small, red/brown fruits which follow will attract quite a number of birds who find them delicious.  Fruit set may be increased by planting two or more cultivars of Callery Pear together.  Fall color is incredible, ranging from red and orange to dark maroon.","Bradford","Leaf arrangement","alternate"
"184","Cercis canadensis","The state tree of Oklahoma, Eastern Redbud is a moderate to rapid-grower when young, reaching a height of 20 to 30 feet.  `Flame' Eastern Redbud shows double pink flowers all over the tree in spring, just before the leaves emerge.  Thirty-year-old specimens are rare but they probably can reach 35 feet in height forming a rounded vase.  The pink flowers are displayed later than the species and are sterile so there is no fruit set.  `Flame' Eastern Redbud has an irregular growth habit and is more upright than the species when young but forms a graceful flat-topped vase-shape or globe as it gets older.  The tree usually branches low on the trunk, and if left intact forms a graceful multitrunked habit.  Be sure to avoid weak forks by pruning to reduce the size of lateral branches and save those which form a `U'-shaped crotch, not a `V'.  Keep them less than half the diameter of the main trunk to increase longevity of the tree.  Do not allow multiple trunks to grow with tight crotches, instead space branches about 6 to 10 inches apart along a main trunk.  Yellow (although somewhat variable and unreliable) fall color and tolerance to partial shade make this a suitable, attractive tree for understory or specimen planting.  Best not used as a street tree due to low disease resistance and short life, but is nice in commercial and residential landscapes.  Plant in a shrub border for a spring and fall color display.","Flame","Leaf arrangement","alternate"
"185","Cercis canadensis","`Forest Pansy' Eastern Redbud is a moderate to rapid-grower, 20 to 30 feet in height, which has red twigs and beautiful, shimmering, purple/red new leaves, which fade to purple/green during the summer in its southern range (USDA hardiness zones 7, 8 and 9).  The veins on the backs of the leaves are a deep maroon and make a striking contrast with the light grey/green leaf.  The splendid, purple/pink flowers appear all over the tree in spring, just before the leaves emerge.  `Forest Pansy' Eastern Redbud has an irregular growth habit when young but forms a graceful, flat-topped, vase shape as it gets older.  The tree usually branches low on the trunk, and if left intact forms a graceful multitrunked habit.  Be sure to avoid weak forks by pruning to reduce the size of the lateral branches and save those which form `U'-shaped crotches, not a `V'-shaped crotch.  Keep them less than half the diameter of the main trunk to prevent branch splitting.  This will increase the longevity of the tree.","Forest Pansy","Leaf arrangement","alternate"
"186","Cercis canadensis","The state tree of Oklahoma, eastern redbud is a moderate to rapid grower when young, reaching a height of 20 to 25 feet. 'Silver Cloud' has variegated leaves blotched with white. Thirty-year-old specimens are rare, but they probably can reach 25 to 30 feet in height forming a rounded vase. The pink flowers are much less noticeable than on the species. Eastern redbud has an irregular growth habit when young but forms a graceful flat-topped vase-shape or globe as it gets older. The tree usually branches low on the trunk, and if left intact forms a graceful multi-trunked habit. Be sure to avoid weak forks by pruning to reduce the size of lateral branches and save those that form a U-shaped crotch, not a V. Keep them less than half the diameter of the main trunk to increase longevity of the tree. Do not allow multiple trunks to grow with tight crotches, instead space branches about 6 to 10 inches apart along a main trunk. Yellow (although somewhat variable and unreliable) fall color and tolerance to partial shade make this a suitable, attractive tree for understory or specimen planting. Best not used as a street tree due to low disease resistance, poor tolerance to full sun and short life, but is nice in commercial and residential landscapes. Plant in a shrub border for the unusually variegated foliage.","Silver Cloud","Leaf arrangement","alternate"
"187","Cercis canadensis","The state tree of Oklahoma, redbud is a moderate to rapid-grower when young, reaching a height of 20 to 30 feet.  Thirty-year-old specimens are rare but they can reach 35 feet in height, forming a rounded vase. The bright white flowers appear all over the tree in spring, just before the leaves emerge. Redbud has an irregular growth habit when young but forms a graceful flat-topped vase-shape or globe as it gets older. The tree usually branches low on the trunk, and if left intact forms a graceful multi-trunked habit. Be sure to avoid weak forks by pruning to reduce the size of lateral branches. Keep them less than half the diameter of the main trunk to increase longevity of the tree. Do not allow multiple trunks to grow with tight crotches, instead space branches about 6 to 10 inches apart along a main trunk. Yellow (although somewhat variable and unreliable) fall color and tolerance to partial shade make this a suitable, attractive tree for understory or specimen planting. Best not used extensively as a street tree due to low disease resistance and short life, but is nice in commercial and residential landscapes. Plant in a shrub border for a spring and fall color display.",NA,"Leaf arrangement","alternate"
"188","Photinia glabra","Widely planted for its attractive, bright-red, new leaf growth, Japanese photinia is a densely-foliated, broadleaf evergreen which grows 15 to 20 feet in height. Bright red leaves among the dark green ones afford a bit of foliage interest throughout the fall and winter in southern climates (USDA hardiness zones 8 and 9). The fragrant, four-inch-wide flower clusters appear in early spring and are followed by somewhat showy, red berries which ripen to black.",NA,"Leaf arrangement","alternate"
"189","Cornus florida","The state tree of Virginia, flowering dogwood grows 20 to 25 feet tall and spreads 12 to 15 feet. This is one of the most popular red-flowered cultivars. It is usually trained as a picturesque multi-trunked tree. The flowers consist of four bracts that subtend the small head of yellow flowers. The bracts are deep red and very striking. The fall color is usually bronze and the bright red fruits are often eaten by birds. Fall color is more vivid in USDA hardiness zones 5 to 8a. Branches on the lower half of the crown grow horizontally, those in the upper half are more upright. In time, this can lend a strikingly horizontal impact to the landscape, particularly if some branches are thinned to open up the crown. Lower branches left on the trunk will droop to the ground, creating a wonderful landscape feature.","Cherokee Chief","Leaf arrangement","opposite/subopposite"
"190","Cornus florida","The state tree of Virginia, flowering dogwood grows 20 to 35 feet tall and spreads 25 to 30 feet. This cultivar has tri-colored leaves with yellow and light green markings. Leaves turn mostly green during the summer in the southern part of its range. The tree can be trained with one central trunk or as a picturesque multi-trunked tree. The flowers consist of four bracts which subtend the small head of yellow flowers. The bracts are white and have a fall color of red to pink. The bright red fruits are often eaten by birds. Fall color is more vivid in USDA hardiness zones 5 to 8a. Branches on the lower half of the crown grow horizontally, those in the upper half are more upright. In time, this can lend a strikingly horizontal impact to the landscape, particularly if some branches are thinned to open up the crown. Lower branches left on the trunk will droop to the ground, creating a wonderful landscape feature.","First Lady","Leaf arrangement","opposite/subopposite"
"191","Cornus florida","The state tree of Virginia, flowering dogwood grows 20 to 35 feet tall and spreads 25 to 30 feet. It can be trained with one central trunk or as a picturesque multi-trunked tree. The flowers consist of four bracts which subtend the small head of yellow flowers. The bracts may be pink or red depending on cultivar but the species color is white. The fall color depends on site and seed source but on most sun grown plants will be red to maroon. The bright red fruits are often eaten by birds. Fall color is more vivid in USDA hardiness zones 5 to 8a. Branches on the lower half of the crown grow horizontally, those in the upper half are more upright. In time, this can lend a strikingly horizontal impact to the landscape, particularly if some branches are thinned to open up the crown. Lower branches left on the trunk will droop to the ground, creating a wonderful landscape feature.",NA,"Leaf arrangement","opposite/subopposite"
"192","Betula pendula","European birch is graceful and ornamental with wonderful yellow fall color but is susceptible to fatal attacks of bronze birch borer. The leaves are often browned by birch leaf miner. When grown, plan to provide the necessary insect control and provide the necessary cultural conditions for best growth. European birch grows rapidly, reaching a height of 35 to 75 feet.  Lawn grasses grow well in its light shade. A moist soil and a regular fertilization program plus watering in dry weather are suggested. Although popular, the tree requires more care and spraying than other ornamental trees. Not a low maintenance tree. Maintaining a good mulch around the root zone is helpful.",NA,"Leaf arrangement","alternate"
"193","Betula pendula","Young's weeping European birch is graceful, weeping ornamental with wonderful yellow fall color but is susceptible to fatal attacks of bronze birch borer. The leaves are often browned by birch leaf miner. When grown, plan to provide the necessary insect control and provide the necessary cultural conditions for best growth. It grows moderately with a variable height, depending on how it was trained. Some specimens appear sloppy, others more tailored. Lawn grasses grow fairly well in its light shade. A moist soil and a regular fertilization program plus watering in dry weather are suggested. Although popular, the tree requires more care and spraying than other ornamental trees. Not a low-maintenance tree. Maintaining a good mulch around the root zone is helpful for best growth.","Youngii","Leaf arrangement","alternate"
"194","Magnolia virginiana","Magnolia virginiana  `Henry Hicks' is a graceful southern evergreen with a wide columnar habit, ideal for use as a patio, tree, or specimen.  It remains evergreen well into USDA hardiness zone 6, maybe 5b.  It can grow to a mature height of 40 feet in the north or to 60 feet in the south.  Trees glimmer in the wind due to the whitish-green undersides of the leaves.  They are very noticeable as you drive by them on interstates along water-logged woodlands.  The tree provides excellent vertical definition in a shrub border or as a free standing specimen and flourishes in moist, acid soil such as the swamps in the eastern U.S. and along stream banks.  The creamy-white, lemon-scented flowers appear from June through September, and are followed by small red seeds which are used by a variety of wildlife.  It can be trained into a multi-trunked, spreading specimen plant, or left with the central leader intact as a wide column.","Henry Hicks","Leaf arrangement","alternate"
"195","Magnolia virginiana","Sweetbay Magnolia is a graceful southern, evergreen to semi-evergreen, wide columnar tree, ideal for use as a patio tree or specimen.  It can grow to a mature height of 40 feet in the north or to 60 feet in the south.  Trees glimmer in the wind due to the whitish-green undersides of the leaves.  They are very noticeable as you drive by them on interstates along water-logged woodlands.  The tree provides excellent vertical definition in a shrub border or as a free standing specimen and flourishes in moist, acid soil such as the swamps in the eastern U.S. and along stream banks.  The creamy-white, lemon-scented flowers appear from June through September, and are followed by small red seeds which are used by a variety of wildlife.  It can be trained into a multi-trunked, spreading specimen plant, or left with the central leader intact as a wide column.",NA,"Leaf arrangement","alternate"
"196","Diospyros virginiana","An excellent small to medium tree, common persimmon is an interesting, somewhat irregularly-shaped native tree, for possible naturalizing in yards or parks. Bark is grey or black and distinctly blocky with orange in the valleys between the blocks. Fall color can be a spectacular red in USDA hardiness zones 4 through 8a. It is well adapted to cities, but presents a problem with fruit litter, attracting flies and scavengers, such as opossums and other mammals. Its mature height can be 60 feet, with branches spreading from 20 to 35 feet and a trunk two feet thick, but it is commonly much shorter in landscapes. The trunk typically ascends up through the crown in a curved but very dominant fashion, rarely producing double or multiple leaders. Lateral branches are typically much smaller in diameter than the trunk.",NA,"Leaf arrangement","alternate"
"197","Callistemon viminalis","This popular evergreen tree has a dense, multi-trunked, low-branching, pendulous growth habit and a moderate growth rate. Mature specimens can reach 25- to 30-feet tall in 30 years, but most trees are seen 15- to 20-feet high and wide. The narrow, light green, 3- to 4-inch long leaves tend to grow only at the ends of the long, hanging branches, creating a weeping effect. The cylindrical, bright scarlet blooms, several inches long and 1.5-inches wide, are composed of multiple, long, bristlelike stamens. Flowers are larger than the species. These blooms appear in great abundance March through July, less so throughout the year. The flowers are followed by persistent woody capsules that are not noticed unless you are close to the tree.","Red Cascade","Leaf arrangement","alternate"
"198","Callistemon viminalis","This popular evergreen tree has a dense, multi-trunked, low-branching, pendulous growth habit and a moderate growth rate. Mature specimens can reach 25- to 30-feet tall in 30 years, but most trees are seen 15- to 20-feet high and wide. The narrow, light green, 3- to 4-inch-long leaves tend to grow only at the ends of the long, hanging branches, creating a weeping effect. The cylindrical, bright scarlet blooms, three to five inches long and 1-inch wide, are composed of multiple, long, bristlelike stamens. These blooms appear in great abundance March through July, less so throughout the year. The flowers are followed by persistent woody capsules that are not noticed unless you are close to the tree.",NA,"Leaf arrangement","alternate"
"199","Ficus rubiginosa","This broad, spreading evergreen tree is densely covered with oval, blunt-tipped, three to six-inch-long, medium green, smooth leaves, the undersides of which are brown and hairy.  One of the hardiest of the rubber trees, Rusty Fig makes an attractive specimen tree, especially when only a few major branches are allowed to develop creating a more open form.  It does not develop the profusion of aerial roots which some others do.  Rusty Fig's dense growth habit and moderate growth rate make it better suited for smaller landscapes than most other Ficus trees.  It grows to about 35 feet in 30-years.  It is well-suited as a shade or street tree and should require little maintenance once initial pruning creates a good structural habit.  Space major branches along the trunk and keep them trimmed so they remain less than half the diameter of the trunk.  It is among the best ficus trees for frost-free climates.",NA,"Leaf arrangement","alternate"
"200","Ficus rubiginosa","This broad, spreading evergreen tree is densely covered with oval, blunt-tipped, three to six-inch-long, medium green variegated with cream-yellow, smooth leaves, the undersides of which are brown and hairy.  One of the hardiest of the rubber trees, Rusty Fig makes an attractive specimen tree, especially when only a few major branches are allowed to develop creating a more open form.  It does not develop the profusion of aerial roots which some others do.  Rusty Fig's dense growth habit and moderate growth rate make it better suited for smaller landscapes than most other Ficus trees.  It grows to about 35 feet in 30-years.  It is well-suited as a shade or street tree and should require little maintenance once initial pruning creates a good structural habit.  Space major branches along the trunk and keep them trimmed so they remain less than half the diameter of the trunk.  It is among the best ficus trees for frost-free climates.","Variegata","Leaf arrangement","alternate"
"201","Fagus grandifolia","This massive tree will slowly reach a height and spread of 50 or more feet.  Forest grown trees reach up to 120 feet.  The tree is naturally low-branched with attractive glossy green leaves providing deep, inviting shade.  Little grows in the dense shade of a Beech tree but if low branches are left on the tree no ground cover or grass is needed.  In the fall, the leaves turn bronze but weather to a light tan color.  Some leaves are held late into the winter if not blown off by the wind and the thin, smooth, silvery-gray bark is quite ornamental.  The bark looks like elephant skin on older specimens.  The four tiny nuts in each spiny bur of this American native are much prized by birds and various mammals, including man.  The wood is almost white and is used most often in toys, cookware, furniture and for barrels which age beer.  The tree is very resistant to decay under water so it was used to make water wheels in Colonial times.  The wood is also used for tool handles, chairs, cuttings boards, and for making charcoal.",NA,"Leaf arrangement","alternate"
"202","Fagus sylvatica","Upright European Beech grows in a columnar form without pruning perhaps to 70 or 80 feet tall.  The crown spreads to about 30 feet.  The tree grows slowly, recovers slowly from transplanting and prefers a sunny location and a moist, light soil.  European Beech is somewhat tolerant of heat and dry soil, but it is best to locate it where it would receive adequate moisture.  A row of these along an entrance road would make a dramatic entry to a commercial or residential complex.  Purple Beech and the cultivars `Pendula' and `Fastigiata' (`Dawyck') are more available than the species and very attractive.","Dawyck","Leaf arrangement","alternate"
"203","Fagus sylvatica","European Beech grows into a wide oval, 80 to 100 feet tall and spreads 50 to 70 feet.  Branches normally sweep the ground in a graceful fashion.  The tree grows slowly, is hard to transplant and prefers a sunny location and a moist, light soil.  Though not a street tree, the tree makes one of the finest specimens of all those available in North America for large scale landscapes.  European Beech is somewhat tolerant of heat and dry soil, but it is best to locate it where it would receive adequate moisture.  The cultivars `Pendula' and `Fastigiata' are more available than the species and very attractive.",NA,"Leaf arrangement","alternate"
"204","Fagus sylvatica","Purple European Beech grows into a wide oval, 70 to 80 feet tall and spreads 50 to 70 feet.  Leaves emerge deep purple and fade somewhat to a purple-green during the summer.  Branches normally sweep the ground in a graceful fashion.  The tree grows slowly, recovers slowly from transplanting and prefers a sunny location and a moist, light soil.  Though not a street tree, the tree makes one of the finest specimens of all those available in North America for large scale landscapes.  Definitely not for residential landscapes.  Purple European Beech is somewhat tolerant of heat and dry soil, but it is best to locate it where it would receive adequate moisture.  Purple Beech and the cultivars `Pendula' and `Fastigiata' (`Dawyck') are more available than the species and very attractive.",NA,"Leaf arrangement","alternate"
"205","Acer campestre","Hedge maple is usually low-branched with a rounded form, but there is considerable variability from one tree to the next. The branches are slender and branch profusely, lending a fine texture to the landscape particularly during winter. Lower branches can be removed to create clearance beneath the crown for vehicles and pedestrians. The tree eventually reaches a height and spread of 30 to 35 feet but it grows slowly. The small stature and vigorous growth make this an excellent street tree for residential areas, or perhaps in downtown urban sites. However, it grows a little too tall for planting beneath some power lines. It is also suitable as a patio or yard shade tree because it stays small and creates dense shade.",NA,"Leaf arrangement","opposite/subopposite"
"206","Acer campestre","Hedge maple is usually low-branched with a rounded form, but there is considerable variability from one tree to the next. The branches are slender and branch profusely, lending a fine texture to the landscape particularly during winter. Lower branches can be removed to create clearance beneath the crown for vehicles and pedestrians. The tree eventually reaches a height and spread of 30 to 35 feet but it grows slowly. The small stature and vigorous growth make this an excellent street tree for residential areas, or perhaps in downtown urban sites. However, it grows a little too tall for planting beneath some power lines. It is also suitably as a patio or yard shade tree because it stays small and creates dense shade. The leaves of this cultivar emerge yellowish and gradually change to green in the summer.","Postelense","Leaf arrangement","opposite/subopposite"
"207","Ginkgo biloba","This male cultivar of Ginkgo is practically pest-free, resistant to storm damage, and casts dense shade.  It makes a durable street tree with a narrow crown spreading to about 12 or 15 feet.  A good tree for growing in a restricted overhead space.  Other narrow upright cultivars include `Princeton Sentry' and `Fairmont'.  Ginkgo tolerates most soil, including compacted, and alkaline.  The tree is easily transplanted and has a vivid yellow fall color which is second to none in brilliance, even in the south.  However, leaves fall quickly and the fall color show is short.  Unlike the species, the tree does not set fruit.","Fastigiata","Leaf arrangement","alternate"
